beta,kT,KE,SprPE,PE,TotE,Ethr,Rg,bd0,bd1,bd2,bd3,bd4,bd5,bd6,bd7,endl
0.13044277,  7.6661975,  9935.3919,  9010.5893, -4577.9374,  14368.044,  652.95327, 0.00021546158,          0, 0.00028492035, 0.00049110201, 0.0006194396, 0.00065646142, 0.0006194396, 0.00049110201, 0.00028492035, 
0.12108406,  8.2587257,  10703.308,  9430.8567, -4534.8137,  15599.351, -577.48562, 0.00022429092,          0, 0.00029820946, 0.00051559853, 0.00063743462, 0.00068616943, 0.00063743462, 0.00051559853, 0.00029820946, 
0.12686678,  7.8822844,  10215.441,  9200.0677, -4548.4148,  14867.093,  154.27271, 0.00021455729,          0, 0.00029091177, 0.00048659268, 0.00061083687, 0.00065623402, 0.00061083687, 0.00048659268, 0.00029091177, 
0.12096877,  8.2665963,  10713.509,  9310.3583, -4587.0214,  15436.846, -415.18797, 0.00022466338,          0, 0.00029439923, 0.00051713256, 0.00064456704, 0.00068241649, 0.00064456704, 0.00051713256, 0.00029439923, 
0.11709561,  8.5400297,  11067.879,  9053.0044, -4585.6374,  15535.246, -513.61067, 0.00021475072,          0, 0.00028626154, 0.00049031372, 0.00061524247, 0.00065237601, 0.00061524247, 0.00049031372, 0.00028626154, 
0.12978099,  7.7052886,   9986.054,  9168.7662, -4528.7764,  14626.044,  395.87347, 0.00021579209,          0, 0.000289922, 0.00049609999, 0.00061537948, 0.00064987056, 0.00061537948, 0.00049609999, 0.000289922, 
0.12643961,  7.9089139,  10249.952,  9029.7925, -4471.9085,  14807.836,  214.22699, 0.00021549552,          0, 0.00028552757, 0.00049455667, 0.00061524655, 0.00065726682, 0.00061524655, 0.00049455667, 0.00028552757, 
0.12311533,  8.1224652,  10526.715,  8849.7272, -4496.3413,  14880.101,  141.59828, 0.00020253066,          0, 0.00027983379, 0.00045938848, 0.00057259312, 0.00061685974, 0.00057259312, 0.00045938848, 0.00027983379, 
0.12394526,  8.0680779,  10456.229,  8550.1044,  -4512.263,   14494.07,  527.28734, 0.00019780898,          0, 0.00027035954, 0.00044721832, 0.00056502984, 0.00059972834, 0.00056502984, 0.00044721832, 0.00027035954, 
  0.126034,  7.9343667,  10282.939,  8967.8887, -4527.0207,  14723.807,  296.88749, 0.00021317175,          0, 0.00028357013, 0.00048097874, 0.00061138734, 0.00065887553, 0.00061138734, 0.00048097874, 0.00028357013, 
