KE,PE,Etot
155.95084309, -553.559146249, -397.608303159
152.17485548, -549.555071103, -397.380215623
164.791434233, -562.175917081, -397.384482848
167.712501432, -565.237170953, -397.524669521
150.41129061, -547.850050152, -397.438759542
158.415959827, -556.052016612, -397.636056785
167.367335155, -564.96147431, -397.594139154
162.876802414, -560.275253166, -397.398450752
148.425621032, -545.723042602, -397.297421571
145.708333221, -543.198498988, -397.490165767
147.552102111, -545.113790757, -397.561688646
151.71193906, -549.265188088, -397.553249027
164.587232791, -562.163932826, -397.576700036
173.740480076, -571.348383729, -397.607903652
173.281377096, -571.093045669, -397.811668573
169.75084177, -567.596831421, -397.845989651
160.945757381, -558.697516208, -397.751758828
163.800259521, -561.624719221, -397.8244597
173.79864326, -571.652909728, -397.854266469
167.115356327, -564.810197455, -397.694841128
155.76364456, -553.337598684, -397.573954123
156.116548384, -553.608747865, -397.492199481
161.821560953, -559.153773455, -397.332212502
163.745374381, -561.10983009, -397.36445571
166.762621334, -563.964232979, -397.201611646
162.115146505, -559.321190546, -397.206044041
161.123289121, -558.521622584, -397.398333463
167.273155186, -564.684686122, -397.411530936
164.971906436, -562.419883115, -397.447976679
161.330565999, -558.684977116, -397.354411117
166.530347636, -563.959393985, -397.429046349
164.502496899, -561.963934861, -397.461437963
161.342508408, -558.808496273, -397.465987865
156.380818469, -553.936809749, -397.55599128
156.680628731, -554.2391284, -397.558499668
161.113193962, -558.674274068, -397.561080106
165.198528519, -562.865031961, -397.666503442
162.284395829, -559.953901129, -397.6695053
164.667408561, -562.348902346, -397.681493786
171.698144723, -569.330393055, -397.632248332
164.128767318, -561.626178873, -397.497411554
159.988268324, -557.248421152, -397.260152828
150.680742924, -548.05910751, -397.378364586
146.387981289, -543.612023074, -397.224041785
150.840717069, -547.934262771, -397.093545702
164.316925645, -561.393753113, -397.076827467
170.054952668, -567.138203479, -397.083250812
164.532173746, -561.92787957, -397.395705823
167.126511565, -564.558972558, -397.432460993
154.075674689, -551.370426654, -397.294751964
144.00536071, -541.376659834, -397.371299124
156.19812764, -553.657370068, -397.459242428
162.611867199, -560.116135532, -397.504268333
152.010799389, -549.38239638, -397.371596991
151.123554573, -548.470970216, -397.347415643
161.241851653, -558.688406821, -397.446555168
161.91675244, -559.549057132, -397.632304692
159.897553047, -557.378698422, -397.481145374
167.172099277, -564.727362135, -397.555262858
165.209555457, -562.877883926, -397.66832847
165.043834906, -562.682740614, -397.638905707
166.943957917, -564.581621603, -397.637663686
157.095001695, -554.708495757, -397.613494062
150.502406922, -547.967851268, -397.465444345
145.631505254, -543.023478991, -397.391973736
144.509469171, -542.12070957, -397.611240399
152.82837896, -550.519401552, -397.691022592
161.023922027, -558.472474117, -397.44855209
166.952310445, -564.434381222, -397.482070777
163.087832746, -560.661101568, -397.573268822
160.918789774, -558.556864508, -397.638074734
166.060408525, -563.843919185, -397.78351066
171.484903426, -569.332276086, -397.847372661
172.233853337, -569.951192943, -397.717339606
166.44281347, -564.073064152, -397.630250682
160.383252987, -557.950168475, -397.566915489
162.750152599, -560.332218832, -397.582066233
154.891386159, -552.325988022, -397.434601863
148.840777541, -546.279011592, -397.438234051
157.372892382, -554.762286301, -397.389393919
167.024292733, -564.278139484, -397.253846751
168.165401008, -565.307519086, -397.142118078
161.71636274, -558.826995296, -397.110632557
156.308558635, -553.692698801, -397.384140166
158.308726914, -555.832001398, -397.523274484
156.624733949, -554.266394549, -397.6416606
156.701718944, -554.397166795, -397.695447851
160.145972602, -557.79324346, -397.647270858
161.687656031, -559.253975536, -397.566319505
168.063462059, -565.600951028, -397.537488969
156.097328118, -553.470419486, -397.373091368
151.33535024, -548.611066048, -397.275715808
156.436760276, -553.792215922, -397.355455646
153.420539017, -550.981529735, -397.560990718
149.187114293, -546.712274123, -397.52515983
155.915772215, -553.394889227, -397.479117012
161.570910417, -559.135457936, -397.564547519
162.35393793, -560.183695046, -397.829757115
159.867105829, -557.666177596, -397.799071767
157.464743724, -555.390642892, -397.925899168
155.729442869, -553.449952494, -397.720509626
159.731769162, -557.35024273, -397.618473568
162.136184584, -559.687599395, -397.551414811
156.561130102, -553.924866355, -397.363736254
152.155393817, -549.701345153, -397.545951336
151.578860623, -549.085326977, -397.506466354
149.85365265, -547.413437124, -397.559784474
148.039494604, -545.613727464, -397.57423286
147.290421517, -544.89178833, -397.601366814
152.255621106, -549.868329048, -397.612707942
158.39529128, -555.897847633, -397.502556353
149.918150109, -547.314647938, -397.396497829
152.221314212, -549.693572187, -397.472257975
161.134647731, -558.677643112, -397.542995381
154.230080292, -552.002294562, -397.77221427
146.279979601, -544.011742805, -397.731763205
151.875950583, -549.479565738, -397.603615155
161.125323066, -558.838941322, -397.713618256
170.660739926, -568.249174326, -397.588434399
