xb0,yb0,zb0,
-0.48401814, -0.84843564, 0.86691254, 
 1.6951612,   2.406991, -2.2850855, 
 2.4382684,  1.4090764,  1.2403447, 
0.60783819, 0.88075504,  1.6910017, 
-1.0360454, -0.17782383, -1.0940541, 
-1.4083405, 0.11555832,  1.7175156, 
 1.9099372, -1.4797667,  2.3096786, 
0.68064252, -1.7569411, 0.75434494, 
-0.43755653,  1.0934828,  1.3351116, 
0.27183872, 0.010979137, -1.0588498, 
0.86817492,  1.6796607,  2.4066528, 
0.48479163, -0.015577212, -2.1886786, 
-1.7875008, -1.8622037,  2.1562958, 
-0.28881655,   -1.01434, -1.2965523, 
-1.6890115, -0.082424763, -2.1915594, 
0.78211622,  1.0205421, -0.57412369, 
 2.3615387, -1.8096734, -1.9189001, 
0.71833861,  1.0889084, 0.65192303, 
-1.0526034, -2.1581945,  0.5691428, 
-2.0160197, -1.9861047, 0.37434198, 
0.67337567, -0.89040702, -1.5990059, 
0.64393965, -0.65881711, 0.32149731, 
 1.6832816, 0.87604032,   1.316359, 
-1.5992061, -1.2341745, -0.24770741, 
 1.4114012, -1.3096865, -0.26296797, 
  1.069185,  2.1561503, -1.4898584, 
0.087288786, 0.14046195, 0.92327997, 
-0.50738707, -0.12396788, -2.0399617, 
-0.79639586,  2.5513624, -1.7564472, 
0.39375387, -2.2146373,  1.8609741, 
-0.89837746,  2.2333881,   1.267589, 
-1.6204517,  1.0311477,  1.1273784, 
 1.7367138, -1.0472537,  0.8743799, 
-2.5225998, -1.7084712, -0.72004186, 
-1.6411429,  2.1333349, 0.53125944, 
 2.4013586, 0.20328053, -2.3530724, 
 -1.876851, -2.3621007,  -1.173391, 
-2.5479168, 0.44159705, 0.82105661, 
0.18313419,  2.4003728, -2.0820246, 
 -1.109457,  1.2403474,  2.1001318, 
 2.3876113,  2.5610638,  1.0993957, 
 2.0959286, -0.16555404, 0.055037062, 
-0.38851142, -0.55072251, -0.24142437, 
-2.0210415, -0.71853528,  2.1116983, 
 2.1397004,  1.5007562,  2.5045562, 
-0.67860743, -1.9336573,  1.5659792, 
-0.19889709,  2.3176784, -0.55333086, 
0.24504544,   2.016197,  1.2397844, 
0.28091108, -1.2433491, -2.5134047, 
0.36099138, -1.8588407,  -1.380068, 
 1.0599875,  -2.018015, -2.5512742, 
-0.66679349, -1.6976633, -2.4669588, 
 1.0230046, -2.3157498, -0.68326267, 
-2.1637811, -0.57173301, -1.0350411, 
0.74759181,  1.9216875, 0.03818057, 
-1.7000789, -2.3172778,  1.2866645, 
-0.31411883, -1.8504086, -0.19316339, 
0.063146239, -0.27361162,  1.8244544, 
-0.073257563, -2.4345129, 0.55711484, 
 2.4143468, 0.62557907, -0.33361254, 
-1.4905457,  1.2457459, -0.0089565534, 
-1.3862245,  2.2580322, -0.48779056, 
-0.96579911, 0.94319587, -0.85292059, 
 1.2795501, 0.040745978,  0.7925265, 
0.43601903,  1.0010589,  -1.630562, 
-1.2656615, -1.2204678, 0.99110178, 
-1.8782384, -0.3881085,  0.9137054, 
 2.0275748, -1.9417553, 0.27666352, 
 1.4221249, -1.5504438, -1.5958829, 
-1.6913835, -0.18125114, -0.18038649, 
 2.5189699, -1.0467512, 0.24408743, 
 1.0833745, 0.051564919, -0.35405941, 
-2.4690954, -1.6316423,  1.4218931, 
 1.9315689, -0.72648092, -1.0364678, 
 1.9276118, -0.14841609,  1.7152377, 
-2.0640188,  1.2198587, -2.2949989, 
-0.53542323,  1.3173511,  0.3111198, 
 1.9646729,  2.5431294, -1.1783367, 
 1.5487562, 0.30976621, -1.3901801, 
-1.0293657, 0.37991418, 0.55044373, 
 1.9547714,  1.2880418, -1.5084163, 
 1.6080416, -0.56450887, -2.2919485, 
-1.8356075,   1.893673,  1.7861351, 
 2.5093142,  2.4808962,  2.0988277, 
-0.34333676,  1.6579459, -1.5489502, 
-0.92790878,  -0.635254,  2.4055986, 
0.54866498, -1.1238161, -0.68023594, 
-1.1135237, 0.92464194, -2.0407945, 
 1.3033217, 0.90898629, -2.2170091, 
-1.0887563,  2.4355458,  2.2789578, 
 1.8267193,  1.5464923, -0.53833092, 
-1.5998462, -1.4110926, -1.5377359, 
 1.6807774,  0.8647039,   0.260307, 
0.063284069, 0.58156732, -0.087450154, 
-2.2683819,  2.4052424, -2.0306332, 
 1.4463058,   2.063937,   1.560248, 
-2.3763589, -0.86762448,  -1.981262, 
 1.3722565, -2.1120841,  1.4712487, 
 2.4966021,  2.4878209, -0.34089716, 
-1.9532652, 0.52516893, -1.1260617, 
-2.5430239,   1.616587, 0.21695098, 
-0.92432514, -1.9491377, -0.96018737, 
 -2.512197,   0.725617,  1.8358198, 
0.98674188, -0.78466696,  1.6182376, 
 1.6941272,   2.110317, 0.53350003, 
-1.5321314,  1.8682555, -1.4853515, 
-2.4040641,  1.6391028, -0.89882122, 
-0.025943832,  0.9098833, -2.4796694, 
-0.32014444, -0.91194073, 0.89629415, 
 1.7271813,  2.3602507, -2.2978884, 
 2.4400915,  1.5820508,  1.2293827, 
0.63409126, 0.64481313,   1.962606, 
-1.0672765, -0.49015213, -0.96790944, 
-1.5269626, 0.0017188506,  1.6044584, 
 2.0850142, -1.3232114,  2.1802375, 
0.71756873, -1.9862363, 0.74532695, 
-0.52135879, 0.90657231,   1.492328, 
0.071864162, 0.26717315, -1.2709827, 
 0.8070505,  1.7527065,  2.5620159, 
0.51952968, 0.094368362, -2.2595054, 
-1.7742231,   -1.90732, -2.4825325, 
-0.25476667, -1.1875319, -1.4759635, 
-1.5963005, 0.011458852, -2.3293782, 
0.84824601,  1.2602894, -0.48353002, 
 2.5182247, -1.9599607, -1.9762699, 
0.68282209,  1.0920387, 0.81639523, 
-1.0286245,  -2.114638, 0.0067408849, 
-1.9258863, -2.0355929, 0.20168534, 
0.86462382, -0.86749357,  -1.890568, 
0.54035806, -0.79983344, 0.29964042, 
 1.6211226, 0.72624698,  1.5225025, 
-1.6040596, -1.1926182, -0.46409053, 
 1.6298086, -1.2704406, -0.21693317, 
 1.1401182,  1.9595848, -1.2274221, 
0.0073681939, 0.082480242, 0.99645439, 
-0.66480138, -0.33194195, -1.8583981, 
-0.87019674, -2.5512044, -1.7001818, 
0.24537405, -2.1727029,  1.8101194, 
-0.68461203,  1.8839078,  1.2813132, 
-1.6504486,   1.053161,  1.1611741, 
 1.7006963, -1.1066486, 0.92749436, 
 2.5534424, -1.4866007, -0.8559815, 
-1.8741844,  2.0901793, 0.79486922, 
 2.4166793, 0.34309462, -2.2127163, 
-1.9244363, -2.3314204, -1.2750665, 
-2.5002861, 0.44910056, 0.56049368, 
0.17039017,  2.4617832, -2.0589587, 
-1.1675593,  1.2709529,  2.2670519, 
-2.5357611, -2.2812997,  1.0945049, 
  1.907841, -0.24169857, 0.028421828, 
 -0.675459, -0.78719133, 0.19267405, 
-1.8808644, -0.85761916,   2.281544, 
 2.1269809,  1.4212329,  2.3521506, 
-0.60599644, -1.6784485,  1.7042779, 
-0.32892108,  2.3910977, -0.59598674, 
0.34846706,  1.8323169,  1.4169711, 
 0.1524667, -1.2285774,  2.2919551, 
0.37594601, -2.0651772, -1.2434908, 
0.89385595, -1.9905973, -2.5310822, 
-0.76699056, -1.5590135, -2.2986999, 
 1.2291446, -2.2083077, -0.42704688, 
-2.3546389, -0.48084957, -1.1264266, 
0.88965763,  2.1753879, 0.26487637, 
-1.5161204, -2.0703003,   1.313794, 
0.096972628, -1.7397418, -0.10699565, 
-0.035371405, -0.29342481,  1.9593973, 
-0.19086082,  2.5284291, 0.50663149, 
 2.5241348, 0.76342274, -0.55613996, 
-1.5526546,  1.0279672, 0.031524548, 
-1.3287869,  2.0482109, -0.31075845, 
-0.7466997,  1.2524924, -0.70901529, 
 1.0729535, 0.085402148, 0.83003565, 
0.74194995,  1.0747627, -1.8253784, 
-1.4456681, -1.2675559, 0.70241121, 
 -2.004849, -0.36805963, 0.62482648, 
 1.5967409, -2.0873679, 0.49243538, 
 1.4231387, -1.8487066, -1.4910914, 
  -1.67066, 0.13380977, -0.25236126, 
 2.5411223, -1.1320771, 0.18591202, 
0.97984827,  0.1464146, -0.48289917, 
-2.5014642, -1.0347901,  1.2495753, 
 1.7666255, -0.84284706, -1.1925435, 
 2.0477118, -0.24386195,  1.7348729, 
-2.0408167,  1.1097078, -2.3975549, 
-0.3437456,  1.5293019, 0.34319624, 
 2.1357538, -2.5185158, -1.1548029, 
 1.7685581, 0.16424399, -1.4628919, 
-1.1006873, 0.29462977, 0.61425667, 
 2.0464032,  1.3456535, -1.5451426, 
 1.4176873, -0.36359616, -2.5612347, 
-1.7995571,  1.9432905,  1.9477215, 
 2.4101328,  2.5257892,  2.0722449, 
-0.24060554,  1.5438243, -1.7456998, 
-0.93041898, -0.80180551,  1.9678297, 
0.70873787, -0.74409915, -0.77559963, 
-1.1399228, 0.81063217, -1.8848676, 
 1.4025499, 0.60933911, -2.4997605, 
-0.90388088,  2.4569634,  2.3631762, 
 1.7400988,  1.9705822, -0.4546082, 
-1.6447231, -1.1507786, -1.6511746, 
 1.5625809, 0.90244019, 0.24409521, 
